UF,Municipio,UF_COD,ibgeID,Pop_estimada
PR,Matelandia,41,4115606,17943
PR,Ramilandia,41,4121257,4451
PR,Sao Miguel do Iguacu,41,4125704,27452
PR,Serranopolis do Iguacu,41,4126355,4495
PR,Missal,41,4116059,10702
PR,Medianeira,41,4115804,46198
PR,Toledo,41,4127700,140635
PR,Cascavel,41,4104808,328454
PR,Santa Tereza do Oeste,41,4124020,10139
PR,Marechal Candido Rondon,41,4114609,52944
PR,Quatro Pontes,41,4120853,4015
PR,Maripa,41,4115358,5603
PR,Assis Chateaubriand,41,4102000,33362
PR,Tupassi,41,4127957,8124
PR,Pato Branco,41,4118501,82881
PR,Mariopolis,41,4115309,6610
PR,Vitorino,41,4128708,6838
PR,Coronel Vivida,41,4106506,20734
PR,Itapejara d Oeste,41,4111209,11964
PR,Clevelandia,41,4105706,16559
PR,Guarapuava,41,4109401,181504
PR,Pinhao,41,4119301,32391
PR,Inacio Martins,41,4110201,11125
PR,Prudentopolis,41,4120606,52241
PR,Goioxim,41,4108650,7111
PR,Candoi,41,4104428,15979
PR,Campo Largo,41,4104204,132002
PR,Carambei,41,4104659,23415
PR,Castro,41,4104907,71484
PR,Ipiranga,41,4110508,15172
PR,Palmeira,41,4117701,33877
PR,Teixeira Soares,41,4127007,12367
PR,Tibagi,41,4127502,20522
PR,Ponta Grossa,41,4119905,351736
PR,Cornelio Procopio,41,4106407,47845
PR,Leopolis,41,4113403,3954
PR,Santa Mariana,41,4123907,11724
PR,Bandeirantes,41,4102406,31367
PR,Santa Amelia,41,4123105,3324
PR,Abatia,41,4100103,7457
PR,Ribeirao do Pinhal,41,4121901,13029
PR,Nova Fatima,41,4117008,8153
PR,Nova America da Colina,41,4116604,3445
PR,Urai,41,4128401,11314
PR,Pitangueiras ,41,4119657,3.224
PR,Ibipora,41,4109807,54558
PR,Cambe,41,4103701,106533
PR,Bela Vista do Paraiso,41,4102802,15397
PR,Primeiro de Maio,41,4120507,11123
PR,Rolandia,41,4122404,66580
PR,Sabaudia,41,4122701,6827
PR,Sertanopolis,41,4126504,16369
PR,Tamarana,41,4126678,14797
PR,Porecatu,41,4120002,12914
PR,Assai,41,4101903,15119
PR,Jataizinho,41,4112702,12588
PR,Alvorada do Sul,41,4100806,11406
PR,Jaguapita,41,4111902,13620
PR,Florestopolis,41,4108007,10548
PR,Arapongas,41,4101507,123027
PA,Tucurui,15,1508100,113659
